#format table ## [Custom WaveView] saved 13:12:48 Thu Mar 14 2024
TIME ,v(0):ALTER=1 ,v(0):ALTER=2 ,v(0):ALTER=3 ,v(0):ALTER=4 ,v(0):ALTER=5 ,v(in):ALTER=1 ,v(in):ALTER=2 ,v(in):ALTER=3 ,v(in):ALTER=4 ,v(in):ALTER=5 ,v(vdd!):ALTER=1 ,v(vdd!):ALTER=2 ,v(vdd!):ALTER=3 ,v(vdd!):ALTER=4 ,v(vdd!):ALTER=5 ,i(vdd):ALTER=1 ,i(vdd):ALTER=2 ,i(vdd):ALTER=3 ,i(vdd):ALTER=4 ,i(vdd):ALTER=5 ,i(vin):ALTER=1 ,i(vin):ALTER=2 ,i(vin):ALTER=3 ,i(vin):ALTER=4 ,i(vin):ALTER=5 ,v(out):ALTER=1 ,v(out):ALTER=2 ,v(out):ALTER=3 ,v(out):ALTER=4 ,v(out):ALTER=5 
 1.187E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.069E+00 , 1.069E+00 , 1.069E+00 , 1.069E+00 , 1.069E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 6.892E-05 , 5.649E-05 , 5.107E-05 , 8.109E-05 , 7.993E-05 ,-1.602E-04 ,-1.655E-04 ,-1.592E-04 ,-1.584E-04 ,-1.548E-04 , 1.934E+00 , 1.915E+00 , 1.877E+00 , 1.972E+00 , 1.945E+00 
 1.475E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.328E+00 , 1.328E+00 , 1.328E+00 , 1.328E+00 , 1.328E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 2.942E-05 , 6.122E-06 ,-7.652E-08 , 4.771E-05 , 4.583E-05 ,-1.594E-04 ,-1.572E-04 ,-1.546E-04 ,-1.594E-04 ,-1.560E-04 , 1.867E+00 , 1.811E+00 , 1.772E+00 , 1.916E+00 , 1.877E+00 
 1.574E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.416E+00 , 1.416E+00 , 1.416E+00 , 1.416E+00 , 1.416E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.128E-05 ,-1.109E-05 ,-1.755E-05 , 3.631E-05 , 3.418E-05 ,-1.573E-04 ,-1.544E-04 ,-1.531E-04 ,-1.597E-04 ,-1.565E-04 , 1.824E+00 , 1.776E+00 , 1.736E+00 , 1.897E+00 , 1.854E+00 
 1.594E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.434E+00 , 1.434E+00 , 1.434E+00 , 1.434E+00 , 1.434E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 7.573E-06 ,-1.461E-05 ,-2.113E-05 , 3.398E-05 , 3.070E-05 ,-1.569E-04 ,-1.538E-04 ,-1.527E-04 ,-1.598E-04 ,-1.564E-04 , 1.815E+00 , 1.768E+00 , 1.728E+00 , 1.893E+00 , 1.844E+00 
 1.633E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.470E+00 , 1.470E+00 , 1.470E+00 , 1.470E+00 , 1.470E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 3.439E-07 ,-2.147E-05 ,-2.809E-05 , 2.774E-05 , 2.392E-05 ,-1.561E-04 ,-1.526E-04 ,-1.521E-04 ,-1.597E-04 ,-1.562E-04 , 1.798E+00 , 1.754E+00 , 1.714E+00 , 1.876E+00 , 1.824E+00 
 1.686E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.517E+00 , 1.517E+00 , 1.517E+00 , 1.517E+00 , 1.517E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-9.410E-06 ,-3.072E-05 ,-3.433E-05 , 1.934E-05 , 1.477E-05 ,-1.550E-04 ,-1.511E-04 ,-1.516E-04 ,-1.596E-04 ,-1.559E-04 , 1.775E+00 , 1.735E+00 , 1.660E+00 , 1.853E+00 , 1.797E+00 
 1.798E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.618E+00 , 1.618E+00 , 1.618E+00 , 1.618E+00 , 1.618E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-3.009E-05 ,-4.075E-05 ,-4.756E-05 , 1.518E-06 ,-4.616E-06 ,-1.526E-04 ,-1.549E-04 ,-1.505E-04 ,-1.593E-04 ,-1.553E-04 , 1.725E+00 , 1.636E+00 , 1.545E+00 , 1.805E+00 , 1.740E+00 
 2.000E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-4.529E-05 ,-5.882E-05 ,-7.141E-05 ,-3.060E-05 ,-3.957E-05 ,-1.559E-04 ,-1.617E-04 ,-1.486E-04 ,-1.588E-04 ,-1.543E-04 , 1.565E+00 , 1.459E+00 , 1.338E+00 , 1.718E+00 , 1.637E+00 
 2.050E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-9.863E-05 ,-1.220E-04 ,-1.350E-04 ,-4.936E-05 ,-5.729E-05 ,-7.293E-05 ,-6.084E-05 ,-4.447E-05 ,-1.265E-04 ,-1.222E-04 , 1.511E+00 , 1.398E+00 , 1.268E+00 , 1.678E+00 , 1.591E+00 
 2.059E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.079E-04 ,-1.330E-04 ,-1.345E-04 ,-5.262E-05 ,-6.037E-05 ,-5.852E-05 ,-4.332E-05 ,-4.436E-05 ,-1.209E-04 ,-1.166E-04 , 1.502E+00 , 1.388E+00 , 1.256E+00 , 1.671E+00 , 1.583E+00 
